timeframe,symbol,time,open,high,low,close
5min,NQ,1683172800,13149.25,13150,13146.5,13147.25
5min,NQ,1683173100,13147.25,13148,13142.75,13143.75
5min,NQ,1683173400,13144.25,13145,13140.5,13142.75
5min,NQ,1683173700,13142.5,13143.75,13138.75,13142.5
5min,NQ,1683174000,13142.25,13147.5,13142,13146.5
5min,NQ,1683174300,13146,13146.5,13143.75,13145
5min,NQ,1683174600,13145.5,13155.5,13145,13154.5
5min,NQ,1683174900,13154.5,13168,13154.5,13166.25
5min,NQ,1683175200,13166.25,13167,13158.5,13160.25
5min,NQ,1683175500,13160.25,13162,13156.75,13158.75
5min,NQ,1683175800,13159,13160.5,13154.25,13159.5
5min,NQ,1683176100,13160.25,13161.25,13158.25,13158.5
5min,NQ,1683176400,13158.75,13162.5,13157.5,13161
5min,NQ,1683176700,13161,13166,13161,13162.25
5min,NQ,1683177000,13162.5,13167,13161.75,13165.25
5min,NQ,1683177300,13165.75,13166.25,13162,13162
5min,NQ,1683177600,13162,13162.5,13159.75,13161.5
5min,NQ,1683177900,13161.75,13164.25,13161.5,13162.25
5min,NQ,1683178200,13162.75,13165,13161,13162.5
5min,NQ,1683178500,13163,13164.5,13161.5,13162
5min,NQ,1683178800,13162,13162.75,13159.75,13161.75
5min,NQ,1683179100,13161.75,13162.25,13156.25,13157.25
5min,NQ,1683179400,13157,13157.5,13150.25,13150.75
5min,NQ,1683179700,13150.75,13158.75,13150.5,13158.5
5min,NQ,1683180000,13158.75,13161.75,13152,13153
5min,NQ,1683180300,13153,13155.5,13148.5,13148.75
5min,NQ,1683180600,13148.75,13150.5,13146.5,13148.75
5min,NQ,1683180900,13149,13149.5,13134.5,13138.5
5min,NQ,1683181200,13137.75,13139.75,13132,13132.25
5min,NQ,1683181500,13132.25,13139.25,13131.25,13138.75
5min,NQ,1683181800,13139,13141.25,13134.25,13135.75
5min,NQ,1683182100,13136,13139.75,13134.25,13139.5
5min,NQ,1683182400,13139.5,13139.75,13134.25,13136.75
5min,NQ,1683182700,13136,13139,13135.75,13137.75
5min,NQ,1683183000,13138,13148.5,13137.75,13146
5min,NQ,1683183300,13145.5,13148.5,13144.25,13146.25
5min,NQ,1683183600,13147,13147,13134.25,13134.5
5min,NQ,1683183900,13134.75,13135.5,13123.75,13125.75
5min,NQ,1683184200,13126.5,13127,13110.25,13114
5min,NQ,1683184500,13113.25,13126,13113.25,13117.5
5min,NQ,1683184800,13117,13122.25,13110,13115.5
5min,NQ,1683185100,13115.5,13116,13101.75,13110
5min,NQ,1683185400,13110,13119.25,13101.5,13116.5
5min,NQ,1683185700,13116.5,13173,13115.75,13156.5
5min,NQ,1683186000,13156,13165,13153.75,13155.5
5min,NQ,1683186300,13155.75,13159.25,13146.25,13148.5
5min,NQ,1683186600,13148,13153.5,13144.25,13148
5min,NQ,1683186900,13148.75,13158,13143.75,13150.5
5min,NQ,1683187200,13150.25,13151,13138.25,13141.25
5min,NQ,1683187500,13140.5,13140.75,13131.25,13131.25
5min,NQ,1683187800,13131.25,13132.25,13121,13129
5min,NQ,1683188100,13128.75,13141.75,13128.75,13141.25
5min,NQ,1683188400,13141.25,13147,13135.5,13141
5min,NQ,1683188700,13141.75,13144,13136.25,13136.75
5min,NQ,1683189000,13136.25,13137.25,13129,13132
5min,NQ,1683189300,13131.5,13137.25,13126.5,13135
5min,NQ,1683189600,13135,13140.25,13132.25,13137.5
5min,NQ,1683189900,13137.5,13141,13134,13135.5
5min,NQ,1683190200,13136,13138,13131,13136.75
5min,NQ,1683190500,13137.25,13138.5,13129.5,13132.25
5min,NQ,1683190800,13132,13143.25,13131.5,13136.25
5min,NQ,1683191100,13136,13136.75,13130.5,13131.75
5min,NQ,1683191400,13131.5,13134.5,13127,13127.25
5min,NQ,1683191700,13127.5,13130,13122.75,13129.5
5min,NQ,1683192000,13129.75,13129.75,13123.5,13126
5min,NQ,1683192300,13126,13130.75,13125,13127.75
5min,NQ,1683192600,13127,13127,13115.5,13120.5
5min,NQ,1683192900,13120,13122,13115.25,13119.25
5min,NQ,1683193200,13120,13125.75,13119.25,13121
5min,NQ,1683193500,13121,13125,13109.75,13114
5min,NQ,1683193800,13114,13119.25,13109,13114.5
5min,NQ,1683194100,13114,13119.25,13113.75,13115.75
5min,NQ,1683194400,13115.75,13118.25,13103.5,13104.25
5min,NQ,1683194700,13104,13109.75,13100.5,13105
5min,NQ,1683195000,13104.75,13110.75,13103.25,13110
5min,NQ,1683195300,13110,13115,13106.5,13113
5min,NQ,1683195600,13112.5,13129.75,13111.75,13127.75
5min,NQ,1683195900,13127,13129.25,13124.25,13125.25
5min,NQ,1683196200,13124.75,13128.5,13123.25,13127.5
5min,NQ,1683196500,13127.25,13129.75,13117.5,13120.25
5min,NQ,1683196800,13119.5,13119.5,13109.75,13112
5min,NQ,1683197100,13112.5,13113.25,13102.75,13104.5
5min,NQ,1683197400,13104.25,13113.25,13100.5,13105.75
5min,NQ,1683197700,13106.25,13112.25,13105.75,13110
5min,NQ,1683198000,13111.25,13111.75,13103.5,13104.25
5min,NQ,1683198300,13104.25,13106.5,13092.25,13095.5
5min,NQ,1683198600,13095.5,13098.5,13091.75,13097
5min,NQ,1683198900,13097.5,13098.75,13089.25,13091.5
5min,NQ,1683199200,13091,13097.5,13089,13095.75
5min,NQ,1683199500,13095.75,13100.5,13089.75,13099
5min,NQ,1683199800,13098.5,13106.5,13096.75,13105.25
5min,NQ,1683200100,13105.5,13107.25,13100.25,13103.5
5min,NQ,1683200400,13103.5,13104,13091.75,13097.25
5min,NQ,1683200700,13097,13107,13093,13103.75
5min,NQ,1683201000,13103.25,13105,13094.5,13095.5
5min,NQ,1683201300,13095,13099,13093.75,13097.25
5min,NQ,1683201600,13098,13098.75,13076.75,13086.5
5min,NQ,1683201900,13087,13088.5,13080,13084.5
5min,NQ,1683202200,13084,13088.5,13076,13085.25
5min,NQ,1683202500,13085.25,13086,13061.25,13067.75
5min,NQ,1683202800,13067.75,13078.5,13064,13077
5min,NQ,1683203100,13077,13085,13068.5,13084.5
5min,NQ,1683203400,13084.25,13094.25,13065.75,13083.75
5min,NQ,1683203700,13084,13100.5,13080.75,13090.5
5min,NQ,1683204000,13090.5,13092.75,13085.5,13089.25
5min,NQ,1683204300,13089.5,13090.5,13081.25,13088.5
5min,NQ,1683204600,13088,13096.5,13084.5,13093
